case_id,case_type
1150,單純原被告各一
1151,單純原被告各一
1152,單純原被告各一
1153,單純原被告各一
1154,單純原被告各一
1155,單純原被告各一
1156,單純原被告各一
1157,單純原被告各一
1158,單純原被告各一
1159,單純原被告各一
1160,單純原被告各一
1161,單純原被告各一
1162,單純原被告各一
1163,數名原告
1164,單純原被告各一
1165,單純原被告各一
1166,單純原被告各一
1167,單純原被告各一
1168,單純原被告各一+§188僱用人案型
1169,單純原被告各一
1170,原被告皆數名+§188僱用人案型
1171,單純原被告各一+§187未成年案型
1172,單純原被告各一
1173,單純原被告各一
1174,單純原被告各一
1175,單純原被告各一
1176,單純原被告各一
1177,單純原被告各一
1178,單純原被告各一
1179,單純原被告各一
1180,數名原告
1181,單純原被告各一
1182,單純原被告各一
1183,單純原被告各一
1184,單純原被告各一
1185,單純原被告各一
1186,單純原被告各一+§188僱用人案型
1187,單純原被告各一
1188,單純原被告各一
1189,單純原被告各一
1190,單純原被告各一
1191,單純原被告各一
1192,單純原被告各一
1193,單純原被告各一
1194,單純原被告各一
1195,原被告皆數名
1196,單純原被告各一
1197,單純原被告各一
1198,單純原被告各一
1199,單純原被告各一
1200,單純原被告各一
1201,數名被告+§188僱用人案型
1202,單純原被告各一
1203,單純原被告各一
1204,單純原被告各一
1205,單純原被告各一
1206,單純原被告各一
1207,單純原被告各一+§188僱用人案型
1208,單純原被告各一
1209,單純原被告各一
1210,數名原告+§188僱用人案型
1211,單純原被告各一
1212,數名原告
1213,單純原被告各一
1214,單純原被告各一
1215,數名被告+§188僱用人案型
1216,單純原被告各一
1217,單純原被告各一
1218,單純原被告各一
1219,單純原被告各一
1220,單純原被告各一
1221,單純原被告各一
1222,單純原被告各一
1223,單純原被告各一
1224,單純原被告各一
1225,單純原被告各一
1226,單純原被告各一
1227,單純原被告各一
1228,單純原被告各一
1229,單純原被告各一
1230,單純原被告各一
1231,數名被告+§188僱用人案型
1232,單純原被告各一
1233,單純原被告各一
1234,單純原被告各一
1235,單純原被告各一
1236,單純原被告各一
1237,數名被告
1238,單純原被告各一
1239,單純原被告各一
1240,單純原被告各一+§187未成年案型
1241,單純原被告各一
1242,數名原告
1243,單純原被告各一
1244,單純原被告各一
1245,單純原被告各一
1246,單純原被告各一+§188僱用人案型
1247,單純原被告各一
1248,單純原被告各一
1249,單純原被告各一
1250,單純原被告各一
1251,數名被告+§188僱用人案型
1252,單純原被告各一
1253,單純原被告各一
1254,數名原告
1255,數名原告
1256,單純原被告各一
1257,單純原被告各一
1258,單純原被告各一
1259,單純原被告各一
1260,單純原被告各一
1261,單純原被告各一
1262,單純原被告各一
1263,數名原告
1264,單純原被告各一
1265,單純原被告各一
1266,單純原被告各一
1267,單純原被告各一
1268,單純原被告各一
1269,單純原被告各一
1270,數名被告+§188僱用人案型
1271,單純原被告各一
1272,單純原被告各一
1273,單純原被告各一
1274,單純原被告各一
1275,單純原被告各一
1276,單純原被告各一
1277,單純原被告各一
1278,單純原被告各一
1279,單純原被告各一+§188僱用人案型
1280,單純原被告各一
1281,單純原被告各一
1282,單純原被告各一
1283,單純原被告各一
1284,單純原被告各一
1285,單純原被告各一
1286,單純原被告各一
1287,數名原告
1288,數名原告
1289,單純原被告各一
1290,單純原被告各一+§190動物案型
1291,單純原被告各一
1292,單純原被告各一
1293,單純原被告各一
1294,數名原告
1295,單純原被告各一
1296,數名被告+§188僱用人案型
1297,單純原被告各一
1298,單純原被告各一
1299,單純原被告各一
1300,單純原被告各一
1301,單純原被告各一
1302,單純原被告各一
1303,單純原被告各一
1304,單純原被告各一
1305,單純原被告各一
1306,單純原被告各一+§188僱用人案型
1307,單純原被告各一
1308,單純原被告各一
1309,單純原被告各一+§188僱用人案型
1310,單純原被告各一
